qty_dot_url,qty_hyphen_url,qty_underline_url,qty_slash_url,qty_questionmark_url,qty_equal_url,qty_at_url,qty_exclamation_url,qty_space_url,qty_tilde_url,qty_comma_url,qty_plus_url,qty_asterisk_url,qty_hashtag_url,qty_dollar_url,qty_percent_url,qty_tld_url,length_url,qty_dot_domain,qty_hyphen_domain,qty_underline_domain,qty_at_domain,qty_vowels_domain,domain_in_ip,server_client_domain,qty_dot_directory,qty_hyphen_directory,qty_underline_directory,qty_percent_directory,directory_length,file_length,qty_dot_params,qty_hyphen_params,qty_underline_params,qty_slash_params,qty_questionmark_params,qty_percent_params,email_in_url,tls_ssl_certificate,url_shortened,phishing
2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,39,1,0,0,0,5,0,0,1,1,0,0,24,11,-1,-1,-1,-1,-1,-1,0,1,0,1
1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,21,1,0,0,0,3,0,0,0,0,0,0,12,0,-1,-1,-1,-1,-1,-1,0,1,0,1
3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,40,2,0,0,0,5,0,0,1,0,0,0,24,11,-1,-1,-1,-1,-1,-1,0,1,0,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28,2,0,0,0,9,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0
2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,73,1,0,0,0,4,0,0,1,0,0,0,57,8,-1,-1,-1,-1,-1,-1,0,0,0,1
2,0,1,3,0,3,0,0,0,0,0,0,0,0,0,0,1,229,1,0,0,0,4,0,0,1,0,0,0,51,9,0,0,1,0,0,0,0,0,0,1
2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,18,2,0,0,0,4,0,0,0,0,0,0,1,0,-1,-1,-1,-1,-1,-1,0,1,0,0
2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,45,2,0,0,0,9,0,0,0,0,0,0,17,1,-1,-1,-1,-1,-1,-1,0,1,0,0
2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,47,1,0,0,0,6,0,0,1,0,0,0,27,9,-1,-1,-1,-1,-1,-1,0,1,0,1
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27,3,0,0,0,7,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,2,0,0,0,6,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,52,2,0,0,0,3,0,0,1,0,0,0,40,8,-1,-1,-1,-1,-1,-1,0,1,0,1
1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,24,1,0,0,0,5,0,0,0,0,0,0,7,0,-1,-1,-1,-1,-1,-1,0,1,0,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,2,0,0,0,5,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
