,qty_dot_url,qty_hyphen_url,qty_underline_url,qty_slash_url,qty_questionmark_url,qty_equal_url,qty_at_url,qty_exclamation_url,qty_space_url,qty_tilde_url,qty_comma_url,qty_plus_url,qty_asterisk_url,qty_hashtag_url,qty_dollar_url,qty_percent_url,qty_tld_url,length_url,qty_dot_domain,qty_hyphen_domain,qty_underline_domain,qty_at_domain,qty_vowels_domain,domain_in_ip,server_client_domain,qty_dot_directory,qty_hyphen_directory,qty_underline_directory,qty_questionmark_directory,directory_length,qty_hyphen_file,file_length,qty_dot_params,qty_hyphen_params,qty_underline_params,qty_slash_params,qty_questionmark_params,qty_percent_params,email_in_url,url_shortened,phishing
4657,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,38,2,0,0,0,6,0,0,0,0,0,0,22,0,0,-1,-1,-1,-1,-1,-1,0,0,1
56440,5,1,0,4,0,1,1,0,0,0,0,0,0,0,0,0,2,88,2,0,0,0,8,0,0,1,1,0,0,34,0,9,2,0,0,0,0,0,1,0,1
42117,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,16,1,1,0,0,5,0,0,0,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,0,0,1
10849,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,22,1,1,0,0,6,0,0,0,0,0,0,5,0,0,-1,-1,-1,-1,-1,-1,0,0,1
39395,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,37,1,0,0,0,9,0,0,1,0,0,0,19,0,9,-1,-1,-1,-1,-1,-1,0,0,1
17557,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23,2,0,0,0,6,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
906,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,2,0,0,0,8,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
43624,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,46,2,0,0,0,9,0,0,0,0,0,0,18,0,2,-1,-1,-1,-1,-1,-1,0,0,0
29017,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,16,2,0,0,0,4,0,0,0,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,0,0,0
32662,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,16,3,0,0,0,2,0,0,0,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,0,0,0
32790,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,2,0,0,0,4,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
23613,3,0,1,4,0,3,0,0,0,0,0,0,0,0,0,0,1,242,2,0,0,0,8,0,0,1,0,0,0,55,0,9,0,0,1,0,0,0,0,0,1
5931,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,2,0,0,0,5,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
35819,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,46,1,0,0,0,7,0,0,1,0,0,0,26,0,14,-1,-1,-1,-1,-1,-1,0,0,1
7821,3,1,3,5,0,0,0,0,0,0,0,0,0,0,0,0,1,94,2,1,0,0,11,0,0,1,0,3,0,59,0,17,-1,-1,-1,-1,-1,-1,0,0,1
11396,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,2,0,0,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
17998,3,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,79,2,3,0,0,15,0,0,1,0,0,0,30,0,9,-1,-1,-1,-1,-1,-1,0,0,1
41895,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,46,2,0,0,0,9,0,0,0,0,0,0,18,0,2,-1,-1,-1,-1,-1,-1,0,0,0
4039,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,65,2,0,0,0,5,0,0,2,0,0,0,48,0,10,-1,-1,-1,-1,-1,-1,0,0,1
52219,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,30,2,0,0,0,10,0,0,0,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,0,0,0
26808,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,46,2,0,0,0,9,0,0,0,0,0,0,18,0,2,-1,-1,-1,-1,-1,-1,0,0,0
5268,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,30,2,2,0,0,9,0,0,0,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,0,0,1
20510,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,40,2,0,0,0,18,0,0,0,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,0,0,1
21787,1,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,62,1,0,0,0,3,0,0,0,2,0,0,50,0,0,-1,-1,-1,-1,-1,-1,0,0,1
23002,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,53,1,0,0,0,8,0,0,1,0,0,0,22,0,9,1,0,0,0,0,0,0,0,1
7064,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,2,0,0,0,4,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
6319,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,83,2,0,0,0,3,0,0,0,0,0,0,70,0,40,-1,-1,-1,-1,-1,-1,0,0,1
21154,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,26,2,0,0,0,9,0,0,0,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,0,0,0
11753,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,54,2,0,0,0,6,0,0,1,0,0,0,37,0,14,-1,-1,-1,-1,-1,-1,0,0,0
1632,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,14,1,0,0,0,6,0,0,0,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,0,0,0
27695,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,15,1,0,0,0,5,0,0,0,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,0,0,0
19793,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,28,1,0,0,0,5,0,0,0,0,0,0,17,0,16,-1,-1,-1,-1,-1,-1,0,0,0
24787,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,27,3,0,0,0,8,0,0,0,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,0,0,0
32880,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,30,1,0,0,0,6,0,0,0,0,0,0,15,0,0,-1,-1,-1,-1,-1,-1,0,0,0
8931,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,45,1,0,0,0,3,0,0,0,1,0,0,33,0,0,-1,-1,-1,-1,-1,-1,0,0,1
612,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,47,2,0,0,0,9,0,0,0,0,0,0,19,0,3,-1,-1,-1,-1,-1,-1,0,0,0
35583,1,2,1,6,0,0,0,0,0,0,0,0,0,0,0,0,1,75,1,0,0,0,2,0,0,0,2,1,0,65,0,0,-1,-1,-1,-1,-1,-1,0,0,1
44263,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,45,1,0,0,0,3,0,0,0,0,0,0,4,0,0,2,0,0,0,1,0,0,0,1
25804,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,24,1,0,0,0,10,0,0,0,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,0,0,1
15639,3,1,0,5,0,3,0,0,0,0,0,0,0,0,0,0,1,163,2,0,0,0,11,0,0,1,1,0,0,63,0,10,0,0,0,0,0,0,0,0,1
36494,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,18,2,0,0,0,3,0,0,0,0,0,0,4,0,0,-1,-1,-1,-1,-1,-1,0,0,0
43647,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,53,2,0,0,0,12,0,0,0,0,0,0,14,0,0,-1,-1,-1,-1,-1,-1,0,0,1
19926,6,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,1,219,2,0,0,0,6,0,0,4,0,0,0,136,0,0,0,0,0,0,0,0,0,0,1
8238,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,18,2,0,0,0,4,0,0,0,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,0,0,0
4028,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,2,0,0,0,4,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
14044,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,2,0,0,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
32281,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,30,2,1,0,0,7,0,0,0,0,0,0,8,0,0,-1,-1,-1,-1,-1,-1,0,0,1
53916,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,29,2,0,0,0,4,0,0,0,0,0,0,6,0,0,-1,-1,-1,-1,-1,-1,0,0,1
49140,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,20,2,0,0,0,3,0,0,0,0,0,0,10,0,0,-1,-1,-1,-1,-1,-1,0,0,0
41672,3,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,2,68,1,0,0,0,6,0,0,1,0,0,0,21,0,9,1,0,0,0,0,0,1,0,1
4212,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,13,1,0,0,0,1,0,0,0,0,0,0,7,0,6,-1,-1,-1,-1,-1,-1,0,0,1
16601,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,38,1,0,0,0,11,0,0,0,0,1,0,13,0,0,-1,-1,-1,-1,-1,-1,0,0,1
32820,2,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,58,2,0,0,0,7,0,0,0,0,1,0,36,0,5,-1,-1,-1,-1,-1,-1,0,0,1
41824,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,45,1,0,0,0,5,0,0,1,0,0,0,32,0,9,-1,-1,-1,-1,-1,-1,0,0,1
45457,2,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,1,46,1,0,0,0,3,0,0,1,0,0,0,10,0,9,0,0,2,0,0,0,0,0,0
5528,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,2,1,0,0,6,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
17756,2,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,49,2,0,0,0,3,0,0,0,2,0,0,34,2,21,-1,-1,-1,-1,-1,-1,0,0,0
51443,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,26,2,0,0,0,7,0,0,0,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,0,0,0
1221,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,114,1,0,0,0,6,0,0,0,0,0,0,91,0,32,-1,-1,-1,-1,-1,-1,0,0,1
45664,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23,2,0,0,0,6,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
9760,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,30,1,0,0,0,1,0,0,0,1,0,0,23,1,22,-1,-1,-1,-1,-1,-1,0,0,1
21798,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,2,0,0,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
37426,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,2,0,0,0,8,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
17160,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,12,1,1,0,0,4,0,0,0,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,0,0,0
41207,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,39,2,0,0,0,6,0,0,0,0,0,0,23,0,0,-1,-1,-1,-1,-1,-1,0,0,1
53383,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,13,1,0,0,0,2,0,0,0,0,0,0,7,0,6,-1,-1,-1,-1,-1,-1,0,1,1
39070,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,2,0,0,0,7,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
55214,4,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,55,3,0,0,0,4,0,0,1,1,0,0,32,0,14,-1,-1,-1,-1,-1,-1,0,0,1
12702,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,1,0,0,0,4,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
41356,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,2,0,0,0,3,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
31684,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,12,1,0,0,0,3,0,0,0,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,0,0,1
12733,1,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,43,1,0,0,0,7,0,0,0,2,0,0,25,0,0,-1,-1,-1,-1,-1,-1,0,0,1
44524,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,2,1,0,0,6,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
2758,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,2,0,0,0,3,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
11142,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
30168,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,2,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
6100,5,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,2,62,2,0,0,0,2,0,0,1,0,0,0,27,0,8,2,0,0,0,0,0,1,0,1
39632,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,1,0,0,0,7,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
16871,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,27,1,0,0,0,5,0,0,0,0,0,0,15,0,14,-1,-1,-1,-1,-1,-1,0,0,1
9902,5,1,1,4,0,1,0,0,0,0,0,0,0,0,0,0,1,199,3,1,0,0,12,0,0,2,0,1,0,149,0,17,0,0,0,0,0,0,0,0,1
30582,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,45,2,0,0,0,6,0,0,0,0,0,0,29,0,0,-1,-1,-1,-1,-1,-1,0,0,1
46752,2,0,1,3,0,3,0,0,0,0,0,0,0,0,0,0,1,229,1,0,0,0,4,0,0,1,0,0,0,51,0,9,0,0,1,0,0,0,0,0,1
