,qty_dot_url,qty_hyphen_url,qty_underline_url,qty_slash_url,qty_questionmark_url,qty_equal_url,qty_at_url,qty_exclamation_url,qty_space_url,qty_tilde_url,qty_comma_url,qty_plus_url,qty_asterisk_url,qty_hashtag_url,qty_dollar_url,qty_percent_url,qty_tld_url,length_url,qty_dot_domain,qty_hyphen_domain,qty_underline_domain,qty_at_domain,qty_vowels_domain,domain_in_ip,server_client_domain,qty_dot_directory,qty_hyphen_directory,qty_underline_directory,qty_percent_directory,directory_length,file_length,qty_dot_params,qty_hyphen_params,qty_underline_params,qty_slash_params,qty_questionmark_params,qty_percent_params,email_in_url,url_shortened,phishing
29026,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,4,0,0,0,9,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
52848,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,2,0,0,0,5,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
3821,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,2,0,0,0,3,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
74221,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,4,0,0,0,8,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
34258,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,2,0,0,0,6,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
77704,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,2,0,0,0,7,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
33564,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31,2,0,0,0,12,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
71845,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,42,1,0,0,0,4,0,0,0,1,0,0,25,7,-1,-1,-1,-1,-1,-1,0,0,1
7720,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,2,0,0,0,4,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
44716,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,3,0,0,0,5,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
47272,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,19,2,0,0,0,6,0,0,0,0,0,0,1,0,-1,-1,-1,-1,-1,-1,0,0,1
70529,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,43,1,0,0,0,5,0,0,1,0,0,0,27,12,-1,-1,-1,-1,-1,-1,0,0,1
17707,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,42,2,0,0,0,15,0,0,0,0,0,0,1,0,-1,-1,-1,-1,-1,-1,0,0,0
88380,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,67,2,0,0,0,5,0,0,1,0,0,0,24,17,0,0,0,0,0,0,0,0,1
40195,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,2,0,0,0,4,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
59947,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27,2,0,0,0,10,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
